시장명,시장유형,소재지도로명주소,지역구분,위도,경도,점포수,취급품목,사용가능상품권,공중화장실보유여부,주차장보유여부
방학동도깨비시장,상설장,서울특별시 도봉구 도당로13가길 17,서울,37.66594191,127.0362056,103,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,N,Y
창동신창시장,상설장,서울특별시 도봉구 덕릉로57길 17,서울,37.6394346,127.0374397,76,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,N,N
창동골목시장,상설장,서울특별시 도봉구 덕릉로58길 16,서울,37.638352,127.0391199,60,"농산물, 생필품, 수산물, 잡화 등",온누리상품권,N,N
쌍문시장,상설장,서울특별시 도봉구 도봉로113길 23,서울,37.648244,127.0328194,103,"농산물, 생필품, 수산물, 잡화 등",온누리상품권(일부점포),N,N
용인중앙시장,상설장+5일장,경기도 용인시 처인구 금령로99번길 9,경기,37.236506,127.207071,535,"야채, 수산, 정육, 순대, 떡, 의류, 잡화 등","전통시장 상품권,온누리상품권",Y,Y
죽전로데오상점가시장,상설장,경기도 용인시 수지구 용구대로 2725-3,경기,37.328761,127.108104,100,"의류, 신발, 가방 등",온누리상품권,Y,Y
구리전통시장,상설장,경기도 구리시 검배로6번길 31,경기,37.599546,127.139929,281,농수축산물·의류·잡화·식품 등,온누리상품권,Y,Y
통진시장,상설장,경기도 김포시 통진읍 서암로84번길 1,경기,37.69240314,126.5993151,77,식재료 등,온누리상품권,N,N
화천재래시장,상설장,강원도 화천군  화천읍 중앙로 4길 21-7외,강원,38.103715,127.705625,100,"음식점, 농산물, 생필품, 잡화 등","온누리상품권,화천사랑상품권,화천시장상품권",Y,Y
속초중앙전통시장,상설장,강원도 속초시 수복로 191 (금호동),강원,38.20475131,128.5873483,350,농산물 생필품 수산물 잡화 등,온누리상품권,Y,Y
속초종합중앙시장,상설장,강원도 속초시 중앙로147번길 16 (중앙동),강원,38.20452183,128.5901534,400,농산물 생필품 수산물 잡화 등,온누리상품권,Y,Y
신철원전통시장,5일장,강원도 철원군 갈말읍 삼부연로18번길 16-2,강원,38.144755,127.3100254,51,농축산물 의류 식당 잡화 등,온누리상품권,Y,Y
제천중앙시장,상설장,충청북도 제천시 풍양로 108,충청,37.136628,128.2113,707,"축산물,의류/신발,가정용품,기타소매업",,Y,Y
육거리종합시장,상설장,충청북도 청주시 상당구 청남로2197번길 42,충청,36.627938,127.488184,590,"농산물,축산물,수산물,가공식품,의류/신발",,Y,Y
공주산성시장,상설장+5일장,충청남도 공주시 용당길 22,충청,36.458818,127.122614,560,"농산물,축산물,기타소매업,의류/신발",,Y,Y
도마큰시장,상설장,대전광역시 서구 도마4길 73,충청,36.315806,127.381367,465,"농산물,축산물,수산물,가공식품,음식점업",,Y,Y
교동시장,상설장,전라남도 여수시 교동시장1길 17,전라,34.73908203,127.7299176,97,"생선, 과일, 채소 등","여수지역사랑상품권, 온누리상품권",Y,Y
해안로건어물상가시장,상설장,전라남도 여수시 교동남2길 14,전라,34.73953206,127.734506,30,수산물,"여수지역사랑상품권, 온누리상품권",N,Y
중앙선어시장,상설장,전라남도 여수시 이순신광장로 103,전라,34.73913771,127.7370114,40,수산물,"여수지역사랑상품권, 온누리상품권",N,Y
도깨비시장,상설장,전라남도 여수시 학동서5길 18,전라,34.7633188,127.656583,75,"생선, 과일, 채소 등","여수지역사랑상품권, 온누리상품권",Y,N
언양공설시장,상설장+5일장,울산광역시 울주군 언양읍 남천로 20,경상,35.56301518,129.1253841,61,"농산품,잡화점,야채,과일,노점품목 등",온누리상품권,Y,Y
언양종합상가시장,상설장,울산광역시 울주군 언양읍 장터1길 22,경상,35.56349828,129.1259648,104,"어물전,농산물,의류,신발,잡화,식당등",온누리상품권,Y,Y
덕신1차시장,상설장,울산광역시 울주군 온산읍 온덕1길 25,경상,35.43524242,129.309349,51,"어물전,농산물,의류,신발,잡화,식당등",온누리상품권,N,Y
덕신2차시장,상설장,울산광역시 울주군 온산읍 신온7길 69,경상,35.42934943,129.3100244,24,"농산물,식당,잡화류",온누리상품권,Y,Y
제주시민속오일시장,5일장,제주특별자치도 제주시 오일장서길 26,제주,33.497247,126.474888,1040,"농산물,수산물,의류/신발,가정용품,기타소매업",,Y,Y
서귀포향토오일시장,5일장,제주특별자치도 서귀포시 토평서로11번길 142,제주,33.267789,126.573742,568,"농산물,축산물,수산물,가공식품,의류/신발",,Y,Y
제주시동문재래시장,상설장,제주특별자치도 제주시 관덕로14길 20,제주,33.51159028,126.526018,330,"농산물,축산물,수산물,가공식품,기타소매업",,Y,Y
제주칠성로상점가(칠성로상점가),상설장,제주특별자치도 제주시 관덕로13길 12,제주,33.514026,126.526115,240,"의류/신발,가정용품,기타소매업",,Y,Y
